Consulta 1:
114 18 M
124 18 M
3 25 M
49 24 H
20 17 M
75 34 H
153 34 M
86 9 M
3 46 H
20 18 M
20 21 H
32 19 M
102 42 M
56 9 M
0 46 H
0 38 M
20 26 M
52 43 M
99 27 M
101 41 M
142 11 H
126 11 M
148 8 M
83 25 H
151 22 H
0 30 M
63 45 M
29 29 M
36 8 M
59 27 M
80 30 H
83 25 H
142 11 H
132 45 M
106 30 M
10 27 M
10 33 H
56 28 M
39 1 H
99 40 M
16 28 M
0 37 H
33 34 H
83 29 M
56 39 M
136 32 H
102 39 M
50 3 M
50 32 M
52 38 M
125 25 M
63 45 M
3 40 M
126 9 H
141 40 H
105 2 H
59 31 H
16 1 M
99 23 H
62 8 H
39 5 M
26 35 M
86 21 H
23 7 M
16 10 M
50 12 M
99 48 H
16 4 H
109 16 M
98 19 H
82 17 M
151 48 M
126 30 H
63 23 M
30 36 H
119 40 H
89 48 M
23 20 M
85 7 M
59 5 M
0 1 H
128 6 M
0 4 H
122 28 M
56 37 H
132 9 H
85 43 M
0 10 H
39 24 M
3 19 H
142 29 M
40 44 M
92 35 H
56 27 H
124 36 H
23 47 M
132 17 M
91 41 M
0 7 H
117 35 M
0 18 M
33 17 M
127 34 H
145 8 H
148 47 M
104 38 M
10 39 M
61 41 M
70 30 M
0 17 M
36 15 M
62 43 M
154 21 M
151 6 M
59 7 M
94 38 M
103 14 M
66 36 M
9 19 M
93 29 H
151 23 M
139 29 H
39 16 M
23 47 M
101 4 M
60 30 M
59 16 M
137 10 M
101 4 M
129 9 H
116 11 M
23 22 H
124 37 M
122 39 H
20 23 M
82 1 M
81 10 M
151 5 M
142 42 H
59 37 M
135 27 M
126 12 M
13 25 M
142 45 M
141 22 M
22 46 M
138 47 M
33 17 M
3 31 M
42 46 H
134 39 M
53 23 M
52 43 M
136 12 M
13 40 M
108 6 M
43 33 M
23 6 M
75 34 H
36 42 M
153 33 M
122 17 M
13 11 H
0 28 H
72 31 M
59 47 M
20 35 H
68 19 M
89 5 H
10 3 M
121 20 M
123 14 M
46 48 M
59 35 M
59 16 M
59 47 M
118 21 H
94 34 M
106 11 M
69 15 M
70 32 M
23 14 M
83 12 M
98 21 M
69 27 M
61 29 H
116 29 H
93 14 M
92 17 M
144 38 H
118 21 H
89 16 M
84 34 M
19 4 M
132 42 M
92 47 H
69 47 M
10 44 M
142 28 H
119 27 M
23 2 H
91 41 M
32 46 M
82 6 H
33 14 M
148 47 M
88 4 M
102 13 M
129 27 H
144 20 M
147 1 M
65 46 M
86 48 H
45 46 M
29 29 M
26 38 H
59 47 M
71 38 H
99 23 H
75 43 M
75 22 M
0 11 M
75 18 H
30 32 M
69 39 H
20 27 H
33 34 H
84 38 M
70 29 H
30 36 H
Consulta 13:
222 29 M
138 14 M
20 29 M
195 1 H
168 28 M
175 17 H
124 19 H
99 3 H
39 25 M
19 19 M
157 31 H
82 22 M
122 7 H
115 27 M
207 6 M
181 7 M
148 22 M
203 10 H
206 31 M
197 18 H
53 6 M
138 25 H
23 20 M
106 8 M
85 16 H
49 9 M
178 26 M
98 12 M
19 31 H
124 5 M
177 12 M
72 22 M
13 31 H
132 15 H
68 19 M
26 18 M
79 15 M
187 13 M
158 22 M
76 14 M
142 26 H
98 12 M
135 27 H
82 7 M
125 20 H
131 12 M
175 9 M
142 17 M
144 3 M
30 21 M
3 28 H
102 32 M
137 31 M
153 29 M
167 5 H
158 27 H
195 2 M
59 33 M
46 15 M
43 26 M
147 10 M
0 6 M
69 22 H
91 19 M
193 5 M
49 16 M
115 27 M
43 13 M
167 16 M
181 28 M
194 6 H
101 5 M
142 9 M
20 8 M
59 7 H
207 27 M
59 7 H
32 10 M
79 29 H
53 6 M
214 22 H
174 13 M
53 13 M
65 25 M
153 29 M
139 2 M
200 12 M
172 11 M
138 13 H
148 22 M
79 30 M
30 8 M
181 7 M
157 16 M
20 21 M
29 5 M
207 25 H
101 23 M
86 27 H
148 33 H
136 11 H
226 23 M
135 33 M
132 17 M
187 4 M
20 8 M
75 4 M
118 4 M
3 10 H
93 21 M
187 4 M
171 7 M
227 22 M
226 5 M
16 1 M
185 1 M
111 5 M
154 32 H
154 24 M
214 7 H
99 27 M
10 24 M
122 26 M
170 31 M
112 27 H
181 7 M
0 8 M
197 33 H
177 3 H
79 29 H
0 22 H
188 26 H
94 29 H
200 12 M
204 28 M
75 23 H
33 27 M
103 11 M
175 21 M
167 16 M
180 32 M
99 27 M
43 26 M
203 16 M
0 22 H
185 21 M
197 4 H
149 2 M
59 16 H
200 3 H
132 8 M
46 7 M
97 29 M
59 33 M
10 8 M
170 5 M
102 3 H
168 7 H
158 27 H
170 10 M
154 4 M
164 24 H
204 28 M
Consulta 14:
72 15 H
69 13 M
44 9 H
64 23 H
65 15 H
23 22 H
49 12 M
63 5 M
68 5 H
43 18 M
28 11 H
2 16 H
49 26 M
35 24 H
5 9 M
63 18 H
17 8 H
46 7 H
75 6 H
53 14 H
33 21 M
35 18 H
53 27 H
76 12 H
71 16 H
23 17 M
57 11 M
51 15 H
38 8 H
78 17 H
21 17 H
33 7 M
Consulta 15:
85 62 M
0 7 M
130 26 H
165 20 M
155 16 M
145 61 M
95 23 M
50 13 M
30 6 M
95 32 M
160 33 M
40 45 M
120 38 M
65 8 M
135 19 M
165 40 M
15 6 M
5 25 M
110 60 M
45 31 M
160 4 M
145 2 M
15 18 M
35 55 M
175 22 H
35 39 M
185 49 M
100 54 H
75 38 M
40 33 H
0 45 H
145 41 M
65 59 H
170 7 M
185 18 M
15 14 H
35 62 M
130 62 M
0 8 M
170 7 M
60 22 M
190 3 H
50 33 M
75 6 M
10 5 M
145 40 H
35 33 H
0 23 M
75 19 M
95 51 M
5 41 M
30 5 M
30 35 H
75 2 M
105 31 M
75 30 M
0 52 M
125 25 M
110 54 M
160 14 M
105 31 M
60 36 M
65 13 M
95 5 M
50 28 H
130 22 M
95 40 M
175 63 M
70 47 M
140 44 M
45 20 M
25 3 M
0 8 M
170 46 M
5 53 H
55 61 M
0 54 M
40 7 M
180 29 H
35 39 M
100 39 M
180 11 M
45 56 M
60 2 M
80 4 M
130 7 H
125 23 M
35 19 M
65 6 H
90 57 M
135 6 H
0 14 M
45 58 H
60 10 M
60 15 H
85 34 M
90 28 M
110 53 M
170 27 M
165 51 M
125 32 H
120 56 M
80 33 H
0 35 M
45 18 H
50 21 M
5 53 H
35 19 M
100 41 M
60 63 M
170 27 M
130 52 M
65 18 M
95 53 M
80 1 M
80 17 H
90 2 H
160 52 M
35 62 M
80 63 M
65 44 M
35 41 H
135 39 M
30 2 H
100 59 M
180 20 M
125 15 M
5 13 M
15 54 M
30 47 H
60 10 M
145 53 M
170 56 M
160 14 M
55 2 H
170 36 M
165 51 M
120 31 M
175 5 M
115 7 M
65 21 M
145 51 M
140 46 M
160 24 M
145 1 M
110 40 H
55 11 M
140 13 H
125 35 M
60 30 M
0 24 M
0 42 M
0 38 M
25 53 M
65 43 M
0 54 M
0 29 H
105 44 H
185 36 H
0 27 M
0 40 M
115 26 M
180 21 M
150 39 M
15 44 H
145 53 M
115 21 M
0 27 M
0 43 M
160 33 M
45 4 H
45 18 H
80 26 H
155 15 M
45 58 H
0 39 M
180 30 M
135 7 M
160 63 M
130 41 M
15 52 M
135 30 M
90 20 M
145 62 M
45 43 M
135 36 H
75 2 M
60 28 M
165 19 M
145 13 M
50 47 H
180 32 M
185 18 M
5 17 M
145 11 M
75 14 H
105 20 M
120 20 M
155 37 M
180 2 M
160 11 H
150 19 M
175 14 M
15 28 H
55 34 M
185 19 M
20 9 M
95 54 H
75 45 M
185 49 M
35 54 M
90 28 M
170 58 M
35 19 M
100 24 H
15 51 M
80 52 H
60 2 M
185 37 M
165 48 H
140 63 H
25 57 M
115 52 M
190 16 M
75 22 H
80 29 M
65 50 H
95 53 M
80 5 M
70 34 M
105 38 M
170 27 M
135 7 M
120 31 M
100 35 M
160 63 M
120 16 M
115 26 M
0 51 M
70 6 H
20 41 M
0 20 M
20 29 M
15 44 H
45 5 M
140 56 M
130 39 H
165 19 M
75 14 H
95 2 M
70 61 M
135 49 M
170 5 H
65 4 M
0 26 M
65 6 H
190 4 M
155 55 M
105 6 M
0 38 M
190 34 M
70 24 M
85 26 M
85 24 M
35 29 M
15 46 M
0 39 M
5 21 H
165 59 M
155 6 M
180 10 M
30 40 H
155 5 M
175 35 M
175 23 M
25 53 M
180 39 H
135 39 M
175 54 M
180 50 M
0 52 M
170 16 M
15 54 M
90 53 H
120 20 M
145 21 M
135 36 H
110 49 H
70 41 M
0 31 M
125 44 M
135 10 M
65 44 M
120 31 M
45 59 M
30 31 M
80 62 H
125 4 M
55 45 H
185 16 H
35 1 M
160 63 M
0 48 M
170 56 M
60 22 M
25 53 M
80 27 M
150 48 M
55 53 M
0 21 H
70 53 M
80 33 H
30 31 M
35 62 M
0 44 M
5 17 M
105 19 M
70 47 M
80 52 H
80 26 H
105 55 M
75 10 M
65 9 M
5 9 M
160 33 M
110 42 M
80 4 M
160 34 M
115 26 M
55 45 H
45 32 M
60 43 H
160 42 M
180 22 M
80 60 M
85 59 M
60 2 M
15 15 M
35 54 M
120 38 M
100 25 M
30 52 M
65 44 M
60 6 H
0 48 M
185 37 M
175 2 H
190 36 M
160 4 M
145 9 H
Consulta 16:
65 32 M
220 16 M
125 23 M
20 29 M
240 23 H
235 37 M
45 12 M
50 3 M
195 20 M
265 24 M
165 10 M
250 22 M
155 9 H
110 8 M
75 25 M
105 2 M
220 7 M
300 27 H
20 37 M
135 16 M
295 6 M
280 30 M
30 34 M
285 37 M
0 1 H
15 4 H
270 21 M
295 26 M
320 1 M
145 6 M
60 22 M
0 15 M
0 16 M
285 22 M
175 28 M
85 21 M
235 29 M
200 35 M
265 2 H
80 32 M
60 4 M
70 37 H
290 21 M
55 33 H
40 25 H
75 13 M
155 21 M
45 24 M
120 22 M
300 18 M
0 15 M
170 22 M
60 33 M
85 27 M
305 34 M
110 30 H
100 24 M
0 8 M
100 11 M
215 4 M
270 12 M
285 22 M
175 28 M
130 18 H
160 26 M
170 16 M
180 24 M
120 27 M
230 26 M
275 36 H
85 11 M
15 26 M
30 28 H
0 22 M
0 37 H
15 23 M
30 11 M
195 10 M
235 11 H
140 34 M
125 34 M
15 27 M
255 27 M
40 25 H
65 11 H
305 7 M
105 9 H
15 12 M
315 10 M
100 36 H
170 31 M
160 20 H
115 24 M
5 37 M
90 12 M
35 23 H
80 26 M
145 17 M
130 24 M
40 25 H
260 23 M
315 2 H
285 11 H
310 38 M
205 16 M
115 30 M
230 4 M
195 20 M
45 12 M
255 11 M
120 31 M
60 12 M
115 21 H
260 10 H
205 7 M
5 17 M
120 7 M
285 16 M
270 2 M
195 36 M
165 35 M
20 21 M
145 6 M
90 9 M
110 32 M
110 23 M
90 33 H
90 13 H
75 31 M
270 21 M
0 8 M
80 15 M
250 18 M
190 32 H
95 17 M
30 11 M
275 38 M
15 6 M
230 30 M
220 2 M
20 13 M
75 27 H
185 21 H
60 24 H
135 27 M
120 16 M
80 26 M
30 7 M
245 24 H
260 38 M
45 2 M
15 24 H
180 18 H
315 24 M
135 7 M
30 3 H
0 17 H
25 24 H
265 4 M
50 13 H
65 3 H
50 10 M
75 22 M
105 20 H
120 15 H
30 2 M
170 7 M
35 10 M
70 20 M
65 37 H
245 32 M
260 10 H
170 7 M
205 38 H
320 25 H
235 29 M
190 31 M
195 24 H
125 13 M
195 30 M
300 7 H
120 33 M
30 6 M
60 15 H
250 24 M
35 19 M
140 13 H
160 3 M
315 4 M
70 14 M
130 6 M
50 21 H
30 24 M
110 32 M
50 3 M
310 36 M
270 34 H
295 4 H
285 21 H
75 23 M
180 20 M
230 4 M
90 31 M
235 1 H
150 12 M
170 34 H
310 19 M
210 6 M
160 26 M
200 7 H
295 20 M
265 20 M
245 4 H
230 35 M
130 29 H
290 28 M
315 14 M
150 33 M
135 12 M
20 9 M
230 8 H
160 19 M
170 7 M
170 31 M
220 5 H
150 37 H
185 37 M
260 10 H
115 14 M
250 8 M
280 26 M
120 16 M
210 13 M
205 19 H
225 36 H
255 31 M
85 29 M
155 1 M
285 1 H
195 32 M
85 11 M
185 33 M
275 36 H
255 37 M
20 4 H
50 11 M
200 7 H
0 19 M
240 23 H
230 20 M
250 14 M
235 37 M
0 36 M
210 6 M
280 8 H
80 15 M
150 7 H
155 9 H
290 38 M
15 8 M
205 25 M
315 10 M
85 14 M
80 1 M
135 22 M
50 21 H
140 13 H
285 27 M
190 28 M
100 3 M
225 23 M
75 37 M
125 4 M
280 26 M
145 24 H
315 8 M
50 1 M
235 7 M
170 34 H
Consulta 17:
320 13 M
30 20 M
220 25 H
265 6 H
210 7 M
5 29 M
45 27 M
315 16 H
375 31 M
45 18 M
160 21 M
125 26 M
30 6 M
315 28 M
140 25 M
380 3 M
150 2 H
225 12 H
350 10 M
55 1 M
30 4 M
325 32 H
Consulta 18:
26 47 H
27 54 H
23 31 H
20 20 H
0 32 H
2 64 M
29 57 H
29 55 M
9 33 H
5 54 H
17 8 M
20 47 H
9 41 H
20 39 M
20 46 M
26 24 M
25 2 M
11 46 H
6 36 H
2 37 M
28 21 H
1 10 H
14 17 H
2 29 M
19 22 M
5 15 H
12 16 H
1 56 H
16 67 H
13 16 M
21 62 H
19 62 H
4 47 M
1 56 H
6 3 H
7 33 H
8 31 M
18 6 H
11 26 H
Consulta 19:
105 52 M
30 40 M
175 18 M
0 47 M
30 58 M
0 13 H
65 42 M
175 61 H
90 6 H
115 66 H
120 44 M
110 34 M
100 64 H
20 21 M
175 45 M
15 54 M
170 33 M
120 66 M
155 65 H
160 29 H
65 35 M
115 58 M
30 38 M
80 3 M
130 15 H
100 25 M
0 3 M
105 59 H
135 66 M
0 55 M
55 39 M
85 35 M
60 38 M
45 16 M
120 53 M
175 56 M
Consulta 20:
405 18 H
345 16 M
145 3 H
435 7 M
425 27 M
60 3 M
0 28 M
310 16 M
200 13 M
110 8 M
135 17 M
320 24 H
120 4 H
260 25 M
180 23 M
175 2 M
30 28 M
220 26 M
75 28 M
200 13 M
285 20 H
430 7 H
50 19 M
245 2 M
165 3 M
45 24 H
30 4 M
220 4 H
305 20 M
135 1 M
440 2 H
70 1 H
135 21 M
390 2 H
155 18 H
270 26 M
140 14 M
335 1 M
105 1 M
160 2 M
240 12 H
305 24 M
70 2 M
130 7 H
215 1 H
255 14 M
315 19 M
65 26 M
115 11 H
130 23 M
355 4 M
270 11 M
160 9 H
315 17 M
160 9 H
15 3 M
135 7 M
340 4 M
250 3 M
215 7 M
395 9 M
210 12 M
305 18 H
160 8 M
425 22 M
175 8 M
370 11 M
250 23 M
395 12 M
0 20 M
120 26 M
205 20 M
145 16 M
340 14 M
215 23 M
95 22 M
305 8 H
260 19 H
415 23 M
125 22 M
55 5 H
275 22 M
165 11 H
200 23 M
405 26 M
185 28 M
175 24 M
195 16 M
70 20 M
30 7 H
360 18 M
70 1 H
25 1 M
215 17 M
105 14 M
400 5 H
285 26 M
15 28 M
370 24 H
175 14 M
170 4 H
Consulta 21:
13 2 H
125 11 H
210 5 M
311 19 H
118 5 M
10 12 M
85 2 M
295 15 M
316 13 H
268 1 M
341 15 M
312 11 M
194 14 M
108 16 M
212 1 M
314 19 M
229 18 M
197 5 M
189 2 H
139 22 M
114 2 H
36 1 M
191 8 M
275 18 M
53 8 M
237 13 M
296 14 H
30 17 M
137 12 M
49 2 M
216 18 H
22 7 M
112 3 M
92 17 H
239 15 M
243 16 H
62 7 H
290 9 H
105 11 M
0 19 H
279 16 M
125 10 M
189 20 M
45 12 H
0 8 M
99 3 M
256 5 M
148 4 M
227 13 M
88 6 H
197 17 M
151 5 M
233 16 M
26 22 M
192 6 H
335 17 M
138 4 M
98 15 M
281 1 M
206 18 M
336 7 M
62 15 M
26 10 M
133 18 M
271 20 M
40 8 M
304 2 H
99 8 M
48 12 H
187 12 H
163 1 H
86 3 H
144 20 H
332 10 M
184 5 H
245 1 M
258 2 H
240 11 H
214 13 M
135 3 M
79 22 M
46 19 M
329 10 H
276 17 H
186 1 H
56 4 M
201 8 M
63 9 M
119 9 M
145 13 M
66 19 M
183 18 M
213 15 H
273 13 M
256 16 M
92 17 H
115 17 H
73 18 M
319 14 H
293 8 M
3 1 M
231 7 M
227 13 M
274 6 M
250 4 H
320 22 H
240 11 H
283 3 M
73 18 M
296 13 M
49 16 M
20 14 M
59 16 H
261 2 M
166 1 M
243 16 H
191 8 M
0 11 M
183 18 M
72 2 M
127 12 M
76 8 M
296 3 M
289 5 M
73 9 M
308 15 M
69 22 M
76 10 H
82 2 H
174 5 M
43 17 H
304 1 M
159 21 M
56 4 M
125 4 M
161 4 M
326 9 M
243 17 M
23 18 M
302 12 H
128 16 H
227 3 M
3 22 M
274 22 H
312 11 M
319 4 H
23 1 H
50 21 M
115 1 M
209 1 H
0 3 M
220 16 H
10 21 M
192 21 M
178 3 H
323 22 M
89 13 M
16 2 M
107 12 M
86 13 H
333 7 H
195 22 M
196 18 M
66 3 M
275 18 M
171 14 M
148 4 M
97 6 H
161 11 M
204 4 H
218 6 M
99 22 M
181 3 M
122 8 M
59 22 M
234 8 H
330 2 M
224 13 H
33 11 M
319 13 M
13 4 M
154 16 M
39 2 M
36 4 M
29 16 M
139 7 M
281 1 M
83 9 H
276 4 M
0 11 M
122 3 M
167 12 M
201 13 H
304 2 H
86 3 H
99 8 M
221 7 M
69 1 M
108 16 M
46 13 M
299 11 M
158 13 M
191 8 M
337 20 H
122 10 H
265 19 H
52 20 H
62 2 M
32 6 H
304 1 M
260 8 M
39 16 M
332 4 M
36 12 H
65 20 M
20 5 H
49 15 H
10 3 M
10 21 M
204 3 M
63 14 H
3 4 M
73 9 M
270 3 H
316 3 H
100 21 M
26 6 H
279 5 M
184 4 M
22 7 M
59 2 H
118 5 M
66 10 M
26 10 M
55 6 M
65 7 H
313 7 M
26 6 H
289 5 M
242 18 M
324 19 M
145 8 M
141 15 H
79 4 M
72 5 M
248 21 H
306 3 M
287 7 H
246 16 M
59 1 M
36 19 M
102 4 M
135 10 M
128 11 M
250 14 H
43 11 M
264 6 M
150 20 M
95 5 M
76 13 M
243 17 M
230 11 M
141 15 H
308 18 H
86 19 M
56 13 M
242 19 H
182 22 H
148 11 H
159 22 H
50 8 H
16 10 M
319 3 M
247 9 M
300 22 M
281 2 H
176 19 M
210 5 M
221 7 M
262 18 H
279 12 H
186 1 H
149 6 M
112 13 M
220 5 M
126 7 H
105 17 M
225 20 M
325 17 M
274 6 M
57 12 M
75 20 H
59 22 M
232 19 M
105 17 M
43 17 H
168 13 M
158 13 M
184 17 H
53 18 M
222 19 M
165 9 M
36 22 M
159 22 H
273 13 M
190 12 M
0 2 M
264 22 M
118 17 M
235 1 M
75 20 H
10 20 H
0 10 H
39 20 H
226 15 M
323 22 M
315 16 M
202 2 M
53 8 M
228 21 M
42 12 H
46 22 M
13 11 M
128 16 H
178 8 M
116 7 M
216 18 H
40 8 M
306 10 H
289 5 M
327 20 M
238 21 M
258 2 H
283 8 M
256 17 M
235 2 H
108 15 M
309 4 M
76 3 M
337 19 M
53 3 M
79 22 M
322 11 M
10 5 M
29 16 M
159 21 M
262 18 H
66 14 H
147 20 H
145 8 M
296 14 H
0 14 M
30 3 H
168 3 M
59 5 M
248 20 M
155 3 H
320 22 H
260 3 M
245 20 H
101 20 M
300 7 M
227 10 M
116 7 M
119 9 M
244 7 M
237 10 H
126 7 H
168 13 M
105 2 H
149 7 H
154 15 M
46 4 M
80 7 H
126 6 M
196 19 H
259 15 H
164 5 M
119 8 H
296 3 M
3 13 M
188 8 H
331 18 H
131 1 H
283 10 H
91 6 H
39 20 H
164 17 M
205 21 M
105 5 M
10 17 M
117 2 H
62 2 M
261 21 M
72 2 M
120 2 H
319 13 M
92 1 M
55 20 M
175 9 H
184 14 M
52 7 M
72 17 M
54 12 H
10 6 H
16 2 M
144 15 M
73 8 H
291 1 M
335 17 M
184 5 H
138 17 H
284 2 M
133 2 M
87 12 M
218 7 H
26 20 M
49 2 M
46 17 H
75 15 M
0 21 M
121 15 M
189 20 M
172 7 H
204 13 M
59 17 M
225 20 M
256 12 H
153 21 H
254 7 M
Consulta 22:
231 4 M
40 14 H
190 16 M
394 18 M
6 1 H
286 10 M
69 9 M
283 14 M
167 5 M
82 18 H
321 1 M
243 18 H
35 1 M
395 17 H
108 5 M
36 5 M
407 15 H
88 15 M
201 14 H
381 9 M
341 12 H
338 5 M
210 18 M
387 2 M
242 1 M
392 8 M
155 17 M
113 8 H
244 3 M
250 10 H
219 1 M
335 9 M
319 11 M
359 3 M
415 8 M
415 3 H
403 1 M
208 3 H
108 18 M
326 3 M
357 1 M
208 4 M
210 18 M
104 1 M
331 12 M
275 12 M
160 1 M
158 11 M
236 13 H
53 14 M
151 6 H
348 7 M
144 2 M
266 18 H
272 2 M
33 16 M
39 10 M
0 13 H
392 4 M
188 3 M
52 2 M
323 8 M
63 4 M
402 8 M
183 12 M
382 4 M
214 11 H
135 14 M
19 7 M
137 12 M
407 15 H
387 13 M
328 16 M
30 14 M
46 6 M
103 8 M
266 18 H
328 16 M
213 13 H
312 6 H
250 11 M
331 1 H
89 10 H
203 2 M
413 12 M
417 6 M
228 8 H
263 10 M
319 11 M
72 5 H
377 13 M
139 4 M
230 7 H
338 15 H
407 2 H
105 9 M
164 6 M
315 2 H
95 5 H
112 10 H
180 2 M
187 7 M
290 4 M
35 1 M
56 15 H
122 14 M
223 6 M
279 16 H
191 14 M
378 10 M
49 10 M
197 18 H
103 8 M
108 2 H
296 11 M
89 14 M
229 12 M
269 2 H
351 15 M
98 15 M
138 7 H
69 7 H
380 1 M
16 7 H
32 18 M
134 13 M
269 2 H
257 3 M
319 11 M
83 4 M
411 11 M
0 15 M
397 2 M
203 2 M
356 8 M
0 3 M
338 5 M
193 13 M
136 8 H
119 3 M
0 10 H
299 9 M
352 14 M
91 12 M
274 8 H
275 1 M
144 5 M
181 11 M
329 17 M
92 7 H
384 2 H
407 16 M
351 16 M
13 2 H
197 18 H
78 1 H
302 18 M
243 7 M
296 14 M
135 10 H
3 1 H
331 13 M
197 9 M
266 9 M
181 11 M
93 3 H
266 18 H
210 7 M
82 18 H
10 11 H
121 13 H
318 12 H
213 16 M
157 12 H
85 6 M
316 14 H
13 2 H
315 15 H
384 15 H
264 8 M
384 16 M
59 7 M
313 3 M
144 15 M
20 3 M
323 3 H
243 9 M
191 11 H
365 11 M
154 15 H
288 1 M
335 9 M
230 7 H
305 15 M
343 8 H
70 8 M
88 12 H
335 9 M
365 10 H
420 15 M
345 7 H
96 17 H
193 1 H
269 15 H
72 18 M
89 10 H
102 10 M
305 16 M
126 8 M
279 16 H
0 1 H
145 14 M
168 11 H
129 4 M
322 9 M
151 9 M
339 14 H
417 6 M
80 3 H
267 3 M
131 18 M
0 8 M
181 11 M
292 18 M
309 11 M
90 8 H
102 11 M
92 10 M
82 9 M
43 9 H
331 13 M
210 16 H
338 5 M
260 14 M
172 8 M
276 9 M
105 6 H
70 3 M
91 1 M
244 4 M
161 7 H
26 5 M
194 10 M
132 14 H
52 18 M
319 14 M
213 5 M
16 7 H
43 4 M
73 4 M
10 6 H
325 6 M
26 2 M
46 9 M
20 18 H
213 16 M
260 17 M
108 16 M
129 3 M
243 18 H
415 8 M
217 11 M
407 16 M
280 17 H
344 1 M
280 3 M
0 13 H
101 12 M
60 8 M
207 10 M
203 12 H
391 10 M
405 3 M
287 4 H
375 14 M
26 2 M
333 8 M
397 16 M
365 10 H
98 5 M
200 6 M
243 6 H
128 9 M
0 6 M
368 7 H
151 7 M
92 9 M
310 8 M
46 6 M
328 13 H
68 12 M
250 10 H
378 9 H
220 18 H
378 10 M
306 14 M
348 6 M
101 12 M
223 6 M
50 17 H
13 15 H
236 15 M
98 16 M
395 3 M
341 13 M
260 11 H
195 4 H
305 13 H
193 13 M
220 6 H
387 13 M
374 13 H
0 12 M
Consulta 23:
56 60 M
10 53 H
90 15 M
0 12 M
65 23 H
89 1 M
89 25 M
50 38 M
59 29 M
82 62 M
82 43 M
78 49 M
20 5 M
66 42 H
52 23 H
58 71 H
82 44 H
49 23 H
69 19 H
23 16 M
66 54 M
66 28 H
30 2 H
53 72 M
63 72 M
32 49 M
22 40 M
0 66 M
83 56 H
83 63 M
23 7 H
75 19 M
46 34 H
30 65 M
73 26 M
0 25 H
36 32 H
0 20 M
81 71 M
91 47 M
19 22 M
0 69 M
32 27 M
26 57 H
0 63 M
43 26 M
0 45 M
23 35 M
Consulta 24:
0 5 H
15 36 M
105 15 H
25 29 H
175 41 M
145 32 M
170 7 M
55 32 M
45 16 H
195 51 M
140 28 M
180 52 M
210 33 H
50 14 M
110 56 M
210 1 M
200 35 M
200 47 H
175 22 H
90 11 M
80 8 H
105 7 M
175 31 M
0 13 H
60 22 M
165 3 M
90 18 M
120 50 M
100 16 M
15 4 M
180 4 M
180 13 M
175 51 M
50 57 M
200 5 M
125 48 M
150 27 H
75 36 H
75 26 M
210 22 M
105 41 M
185 25 M
50 41 H
65 4 M
180 14 M
30 38 M
200 57 H
195 53 M
40 5 M
185 55 M
195 32 M
55 37 M
210 32 M
30 20 H
145 21 M
115 44 M
5 37 M
160 51 M
0 34 M
125 29 M
65 10 M
115 13 M
200 15 M
0 12 M
120 28 M
15 26 M
0 18 M
185 5 M
130 1 M
155 18 M
30 43 M
205 50 H
115 23 M
155 8 M
105 37 M
80 10 M
70 41 M
20 57 H
170 37 M
110 14 M
15 38 M
180 55 H
190 29 M
185 55 M
15 23 H
30 7 H
210 11 M
40 50 M
30 46 M
30 42 M
0 10 M
210 30 M
0 23 M
20 23 M
0 23 M
155 49 M
100 35 M
45 2 H
60 4 H
15 32 M
90 26 H
15 52 M
170 19 H
35 20 M
55 24 M
85 53 H
120 46 M
110 48 M
15 40 M
165 23 M
40 5 M
20 9 M
45 35 M
80 29 M
30 24 M
15 6 M
120 16 M
155 47 M
100 36 M
180 15 H
15 34 H
60 22 M
80 46 H
200 54 M
145 44 H
205 30 H
160 21 M
0 29 H
0 42 M
180 13 M
190 39 M
180 55 H
0 28 M
75 43 M
20 55 M
70 13 M
65 4 M
105 3 M
65 40 M
210 21 M
130 1 M
35 39 M
205 40 H
210 13 H
190 39 M
80 55 H
50 24 H
165 14 M
145 14 H
180 45 H
210 10 M
65 20 M
155 40 H
95 49 M
170 16 M
165 34 M
95 30 M
195 33 M
135 41 H
180 3 M
205 20 H
20 33 M
205 48 M
75 11 M
125 21 M
75 36 H
170 10 H
170 48 M
65 21 M
200 5 M
200 46 M
150 7 H
205 39 M
45 29 M
195 34 H
50 23 M
50 16 H
30 29 M
75 51 M
130 24 M
170 49 H
65 31 M
55 53 M
65 28 M
85 27 M
60 38 H
130 1 M
110 2 M
205 18 M
165 35 M
190 41 H
180 4 M
200 34 M
155 37 M
75 3 M
0 48 M
110 14 M
75 33 M
130 55 H
105 8 M
5 41 M
35 50 H
175 22 H
120 18 M
210 31 M
Consulta 25:
540 15 M
760 4 M
385 8 M
705 11 M
195 7 M
360 13 M
60 15 M
635 5 M
570 1 M
520 10 M
335 3 H
805 8 M
450 12 M
475 13 H
620 14 M
525 12 H
375 6 M
285 2 H
20 2 H
790 7 H
490 7 H
500 14 M
370 4 M
570 2 M
495 13 H
490 10 M
580 8 H
110 12 M
715 3 H
0 5 H
115 3 H
705 11 M
150 2 M
400 4 M
400 13 M
50 9 M
170 12 M
40 13 M
610 12 M
285 6 M
795 3 H
Consulta 26:
28 2 H
100 10 H
144 13 M
133 3 H
15 9 H
147 9 H
128 11 M
150 10 H
47 10 H
69 4 M
106 10 H
120 3 H
3 8 M
142 9 H
136 10 H
13 10 H
141 2 H
22 12 M
103 9 H
138 10 H
161 1 M
47 10 H
122 9 H
60 10 H
